status,name,instructions,instructions Δ,instructions Δ%,heap_increase,heap_increase Δ,heap_increase Δ%,stable_memory_increase,stable_memory_increase Δ,stable_memory_increase Δ%
,btreemap_iter_10mib_values,11465453,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_iter_10mib_values::node_load_v2,399541,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_iter_count_10mib_values,540177,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_iter_count_10mib_values::node_load_v2,407454,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_iter_count_small_values,11701932,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_iter_count_small_values::node_load_v2,5848713,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_iter_rev_10mib_values,11455999,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_iter_rev_10mib_values::node_load_v2,387380,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_iter_rev_small_values,17226679,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_iter_rev_small_values::node_load_v2,5847237,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_iter_small_values,17274982,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_iter_small_values::node_load_v2,5884280,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_keys_10mib_values,526210,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_keys_10mib_values::node_load_v2,399541,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_keys_rev_10mib_values,517641,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_keys_rev_10mib_values::node_load_v2,388334,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_keys_rev_small_values,11904862,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_keys_rev_small_values::node_load_v2,5847237,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_keys_small_values,11802459,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_keys_small_values::node_load_v2,5884280,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_read_every_third_value_from_range,86884187,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_read_every_third_value_from_range::node_load_v2,9902627,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_read_keys_from_range,86924191,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_read_keys_from_range::node_load_v2,9902627,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_128_1024,1712318385,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_128_1024::node_load_v1,845634581,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_128_1024::node_save_v1,386837188,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_128_1024_v2,1857451354,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_128_1024_v2::node_load_v2,934710105,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_128_1024_v2::node_save_v2,443355204,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_16_1024,892510261,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_16_1024::node_load_v1,214682159,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_16_1024::node_save_v1,347927786,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_16_1024_v2,1023414743,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_16_1024_v2::node_load_v2,295432861,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_16_1024_v2::node_save_v2,398908331,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_256_1024,2419971189,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_256_1024::node_load_v1,1421810928,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_256_1024::node_save_v1,396714659,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_256_1024_v2,2557565219,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_256_1024_v2::node_load_v2,1508508323,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_256_1024_v2::node_save_v2,449133836,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_32_1024,963529244,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_32_1024::node_load_v1,244486349,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_32_1024::node_save_v1,364703915,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_32_1024_v2,1103577917,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_32_1024_v2::node_load_v2,330183961,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_32_1024_v2::node_save_v2,419018094,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_4_1024,581223340,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_4_1024::node_load_v1,139182608,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_4_1024::node_save_v1,222825320,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_4_1024_v2,691772652,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_4_1024_v2::node_load_v2,219202372,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_4_1024_v2::node_save_v2,251873470,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_512_1024,3901589009,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_512_1024::node_load_v1,2600793169,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_512_1024::node_save_v1,433482786,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_512_1024_v2,4018429987,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_512_1024_v2::node_load_v2,2666000537,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_512_1024_v2::node_save_v2,486322801,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_remove_blob_64_1024,1272027822,0,0.00%,0,0,0.00%,0,0,0.00%
